prompt,model,device,concurrency,requested,success_count,failure_count,avg_latency,min_latency,p50_latency,p95_latency,p99_latency,max_latency,total_tokens,avg_tokens,tokens_per_sec,requests_per_sec,duration
Say hello in one word,llama3.2:1b,cpu,1,48,48,0,0.13219359517097473,0.12184596061706543,0.1306610107421875,0.1430060863494873,0.16819190979003906,0.16819190979003906,48,1.0,7.564663013413273,7.564663013413273,6.345292568206787
Say hello in one word,llama3.2:1b,cpu,2,48,48,0,0.15330696602662405,0.12719202041625977,0.150925874710083,0.17374181747436523,0.176710844039917,0.176710844039917,48,1.0,6.522860806118458,6.522860806118458,7.358734369277954
Say hello in one word,llama3.2:1b,cpu,4,48,48,0,0.23394281168778738,0.13562917709350586,0.18296194076538086,0.3312067985534668,0.34291815757751465,0.34291815757751465,48,1.0,4.274548949743188,4.274548949743188,11.229254961013794
Say hello in one word,llama3.2:1b,cpu,8,48,48,0,0.3918956269820531,0.1441211700439453,0.3437011241912842,0.6334149837493896,0.6508498191833496,0.6508498191833496,48,1.0,2.5516998178849164,2.5516998178849164,18.81099009513855
Say hello in one word,qwen2.5:7b,cpu,1,48,48,0,0.15916606783866882,0.13234591484069824,0.1581439971923828,0.1648540496826172,0.2591261863708496,0.2591261863708496,48,1.0,6.282746150477267,6.282746150477267,7.6399712562561035
Say hello in one word,qwen2.5:7b,cpu,2,48,48,0,0.2043461153904597,0.14024806022644043,0.19094300270080566,0.2532958984375,0.26656174659729004,0.26656174659729004,48,1.0,4.893657988502614,4.893657988502614,9.808613538742065
Say hello in one word,qwen2.5:7b,cpu,4,48,48,0,0.28723958134651184,0.1481161117553711,0.26679205894470215,0.41127800941467285,0.4215381145477295,0.4215381145477295,48,1.0,3.4814143486501212,3.4814143486501212,13.787499904632568
Say hello in one word,qwen2.5:7b,cpu,8,48,48,0,0.45601672927538556,0.17268133163452148,0.4424898624420166,0.7213919162750244,0.7679450511932373,0.7679450511932373,48,1.0,2.1929020051282078,2.1929020051282078,21.888803005218506
Summarize the plot of The Matrix in a single sentence,llama3.2:1b,cpu,1,48,48,0,0.5133939981460571,0.37487196922302246,0.519420862197876,0.5867400169372559,0.6294078826904297,0.6294078826904297,2061,42.9375,83.63459673282851,1.9478217579698054,24.642911911010742
Summarize the plot of The Matrix in a single sentence,llama3.2:1b,cpu,2,48,48,0,0.7280940512816111,0.3726840019226074,0.6649038791656494,1.0654499530792236,1.1001708507537842,1.1001708507537842,2064,43.0,59.05830424559879,1.373448935944158,34.948514461517334
Summarize the plot of The Matrix in a single sentence,llama3.2:1b,cpu,4,48,48,0,1.16361037393411,0.4245479106903076,1.1837918758392334,1.9335522651672363,2.274448871612549,2.274448871612549,2118,44.125,37.92076883159397,0.859394194483716,55.85329794883728
Summarize the plot of The Matrix in a single sentence,llama3.2:1b,cpu,8,48,48,0,1.908467024564743,0.4184858798980713,1.8941209316253662,3.2564120292663574,3.6299169063568115,3.6299169063568115,1984,41.333333333333336,21.657871370745887,0.5239807589696586,91.60641717910767
Summarize the plot of The Matrix in a single sentence,qwen2.5:7b,cpu,1,48,48,0,1.1834460993607838,0.8376758098602295,1.1446659564971924,1.367117166519165,2.665313959121704,2.665313959121704,1935,40.3125,34.06365530443173,0.8449898990246629,56.80541276931763
Summarize the plot of The Matrix in a single sentence,qwen2.5:7b,cpu,2,48,48,0,1.6225564926862717,0.8850700855255127,1.3966710567474365,2.3397939205169678,2.4638240337371826,2.4638240337371826,1870,38.958333333333336,24.01046343159042,0.6163113608108771,77.88271164894104
Summarize the plot of The Matrix in a single sentence,qwen2.5:7b,cpu,4,48,48,0,2.7881103654702506,0.9575529098510742,2.6568150520324707,4.598371267318726,4.795781850814819,4.795781850814819,1964,40.916666666666664,14.675411408890032,0.35866585928040806,133.82929754257202
Summarize the plot of The Matrix in a single sentence,qwen2.5:7b,cpu,8,48,48,0,4.807172516981761,1.0108611583709717,4.597317218780518,8.610799074172974,9.022825002670288,9.022825002670288,1944,40.5,8.424910871604915,0.2080224906569115,230.7442808151245
