prompt,model,device,concurrency,requested,success_count,failure_count,avg_latency,min_latency,p50_latency,p95_latency,p99_latency,max_latency,total_tokens,avg_tokens,tokens_per_sec,requests_per_sec,duration
Say hello in one word,llama3.2:1b,gpu,1,10,10,0,0.12853682041168213,0.12065005302429199,0.12823104858398438,0.1417241096496582,0.1417241096496582,0.1417241096496582,10,1.0,7.77987192150207,7.77987192150207,1.2853682041168213
Say hello in one word,llama3.2:1b,gpu,2,10,10,0,0.1517237663269043,0.13657188415527344,0.14510202407836914,0.16757512092590332,0.16757512092590332,0.16757512092590332,10,1.0,6.5909252334627535,6.5909252334627535,1.517237663269043
Say hello in one word,llama3.2:1b,gpu,4,10,10,0,0.20835914611816406,0.13846564292907715,0.16955304145812988,0.31476497650146484,0.31476497650146484,0.31476497650146484,10,1.0,4.799405347115806,4.799405347115806,2.0835914611816406
Say hello in one word,llama3.2:1b,gpu,8,10,10,0,0.34075088500976564,0.13799786567687988,0.3035240173339844,0.6142778396606445,0.6142778396606445,0.6142778396606445,10,1.0,2.9346952392253973,2.9346952392253973,3.4075088500976562
Say hello in one word,qwen2.5:7b,gpu,1,10,10,0,0.1536713123321533,0.13516783714294434,0.1528480052947998,0.17505311965942383,0.17505311965942383,0.17505311965942383,10,1.0,6.507395458682275,6.507395458682275,1.5367131233215332
Say hello in one word,qwen2.5:7b,gpu,2,10,10,0,0.20506703853607178,0.15877389907836914,0.18034005165100098,0.25336718559265137,0.25336718559265137,0.25336718559265137,10,1.0,4.876454095883857,4.876454095883857,2.0506703853607178
Say hello in one word,qwen2.5:7b,gpu,4,10,10,0,0.27082195281982424,0.16482186317443848,0.2502467632293701,0.4034998416900635,0.4034998416900635,0.4034998416900635,10,1.0,3.6924628509170097,3.6924628509170097,2.708219528198242
Say hello in one word,qwen2.5:7b,gpu,8,10,10,0,0.3937819480895996,0.15964579582214355,0.3161320686340332,0.7085797786712646,0.7085797786712646,0.7085797786712646,10,1.0,2.539476491625421,2.539476491625421,3.937819480895996
Summarize the plot of The Matrix in a single sentence,llama3.2:1b,gpu,1,10,10,0,0.48360044956207277,0.3731350898742676,0.48415207862854004,0.5748968124389648,0.5748968124389648,0.5748968124389648,412,41.2,85.19429631901481,2.0678227261896795,4.8360044956207275
Summarize the plot of The Matrix in a single sentence,llama3.2:1b,gpu,2,10,10,0,0.7034117460250855,0.425872802734375,0.6780140399932861,1.0846428871154785,1.0846428871154785,1.0846428871154785,411,41.1,58.42950481315145,1.4216424528747313,7.0341174602508545
