prompt,model,device,concurrency,requested,success_count,failure_count,avg_latency,min_latency,p50_latency,p95_latency,p99_latency,max_latency,total_tokens,avg_tokens,tokens_per_sec,requests_per_sec,duration
Say hello in one word,llama3.2:1b,cpu,1,48,48,0,0.13219359517097473,0.12184596061706543,0.1306610107421875,0.1430060863494873,0.16819190979003906,0.16819190979003906,48,1.0,7.564663013413273,7.564663013413273,6.345292568206787
Say hello in one word,llama3.2:1b,cpu,2,48,48,0,0.15330696602662405,0.12719202041625977,0.150925874710083,0.17374181747436523,0.176710844039917,0.176710844039917,48,1.0,6.522860806118458,6.522860806118458,7.358734369277954
Say hello in one word,llama3.2:1b,cpu,4,48,48,0,0.23394281168778738,0.13562917709350586,0.18296194076538086,0.3312067985534668,0.34291815757751465,0.34291815757751465,48,1.0,4.274548949743188,4.274548949743188,11.229254961013794
Say hello in one word,llama3.2:1b,cpu,8,48,48,0,0.3918956269820531,0.1441211700439453,0.3437011241912842,0.6334149837493896,0.6508498191833496,0.6508498191833496,48,1.0,2.5516998178849164,2.5516998178849164,18.81099009513855
Say hello in one word,llama3.2:1b,gpu,1,48,48,0,0.1342035780350367,0.12481522560119629,0.13459205627441406,0.14182615280151367,0.14810705184936523,0.14810705184936523,48,1.0,7.451366160587228,7.451366160587228,6.441771745681763
Say hello in one word,llama3.2:1b,gpu,2,48,48,0,0.15408635636170706,0.13035893440246582,0.15501904487609863,0.1793370246887207,0.18033790588378906,0.18033790588378906,48,1.0,6.489867264124081,6.489867264124081,7.3961451053619385
Say hello in one word,llama3.2:1b,gpu,4,48,48,0,0.23679608603318533,0.14160990715026855,0.18509888648986816,0.3319380283355713,0.3506767749786377,0.3506767749786377,48,1.0,4.223042773856731,4.223042773856731,11.366212129592896
Say hello in one word,llama3.2:1b,gpu,8,48,48,0,0.38913113872210187,0.14579081535339355,0.3447990417480469,0.6303868293762207,0.6315860748291016,0.6315860748291016,48,1.0,2.569827753399479,2.569827753399479,18.67829465866089
Say hello in one word,qwen2.5:7b,cpu,1,48,48,0,0.15916606783866882,0.13234591484069824,0.1581439971923828,0.1648540496826172,0.2591261863708496,0.2591261863708496,48,1.0,6.282746150477267,6.282746150477267,7.6399712562561035
Say hello in one word,qwen2.5:7b,cpu,2,48,48,0,0.2043461153904597,0.14024806022644043,0.19094300270080566,0.2532958984375,0.26656174659729004,0.26656174659729004,48,1.0,4.893657988502614,4.893657988502614,9.808613538742065
Say hello in one word,qwen2.5:7b,cpu,4,48,48,0,0.28723958134651184,0.1481161117553711,0.26679205894470215,0.41127800941467285,0.4215381145477295,0.4215381145477295,48,1.0,3.4814143486501212,3.4814143486501212,13.787499904632568
Say hello in one word,qwen2.5:7b,cpu,8,48,48,0,0.45601672927538556,0.17268133163452148,0.4424898624420166,0.7213919162750244,0.7679450511932373,0.7679450511932373,48,1.0,2.1929020051282078,2.1929020051282078,21.888803005218506
Say hello in one word,qwen2.5:7b,gpu,1,48,48,0,0.16373208661874136,0.13645410537719727,0.16282081604003906,0.1838679313659668,0.1856532096862793,0.1856532096862793,48,1.0,6.107538361302094,6.107538361302094,7.859140157699585
Say hello in one word,qwen2.5:7b,gpu,2,48,48,0,0.20785030722618103,0.14433979988098145,0.19328784942626953,0.2569711208343506,0.2689332962036133,0.2689332962036133,48,1.0,4.811154784158236,4.811154784158236,9.97681474685669
Say hello in one word,qwen2.5:7b,gpu,4,48,48,0,0.2982923040787379,0.16325092315673828,0.27914905548095703,0.4285240173339844,0.4442601203918457,0.4442601203918457,48,1.0,3.3524163591429357,3.3524163591429357,14.318030595779419
Say hello in one word,qwen2.5:7b,gpu,8,48,48,0,0.4527605473995209,0.1727759838104248,0.42234182357788086,0.7264142036437988,0.7289929389953613,0.7289929389953613,48,1.0,2.2086730077159062,2.2086730077159062,21.732506275177002
