prompt,model,device,concurrency,requested,success_count,failure_count,avg_latency,min_latency,p50_latency,p95_latency,p99_latency,max_latency,total_tokens,avg_tokens,tokens_per_sec,requests_per_sec,duration
Summarize the plot of The Matrix in a single sentence,llama3.2:1b,cpu,1,48,48,0,0.5133939981460571,0.37487196922302246,0.519420862197876,0.5867400169372559,0.6294078826904297,0.6294078826904297,2061,42.9375,83.63459673282851,1.9478217579698054,24.642911911010742
Summarize the plot of The Matrix in a single sentence,llama3.2:1b,cpu,2,48,48,0,0.7280940512816111,0.3726840019226074,0.6649038791656494,1.0654499530792236,1.1001708507537842,1.1001708507537842,2064,43.0,59.05830424559879,1.373448935944158,34.948514461517334
Summarize the plot of The Matrix in a single sentence,llama3.2:1b,cpu,4,48,48,0,1.16361037393411,0.4245479106903076,1.1837918758392334,1.9335522651672363,2.274448871612549,2.274448871612549,2118,44.125,37.92076883159397,0.859394194483716,55.85329794883728
Summarize the plot of The Matrix in a single sentence,llama3.2:1b,cpu,8,48,48,0,1.908467024564743,0.4184858798980713,1.8941209316253662,3.2564120292663574,3.6299169063568115,3.6299169063568115,1984,41.333333333333336,21.657871370745887,0.5239807589696586,91.60641717910767
Summarize the plot of The Matrix in a single sentence,llama3.2:1b,gpu,1,48,48,0,0.5183353126049042,0.36878204345703125,0.5128839015960693,0.6722018718719482,0.7283601760864258,0.7283601760864258,2075,43.229166666666664,83.40000307796444,1.9292530832492978,24.8800950050354
Summarize the plot of The Matrix in a single sentence,llama3.2:1b,gpu,2,48,48,0,0.6892139762639999,0.40920209884643555,0.6013429164886475,1.0220081806182861,1.0795857906341553,1.0795857906341553,1991,41.479166666666664,60.18329299053315,1.4509282087119995,33.082270860672
Summarize the plot of The Matrix in a single sentence,llama3.2:1b,gpu,4,48,48,0,1.1154743830362956,0.3886580467224121,1.0273840427398682,1.802441120147705,1.8928518295288086,1.8928518295288086,2042,42.541666666666664,38.1377352215559,0.8964795742579251,53.54277038574219
Summarize the plot of The Matrix in a single sentence,llama3.2:1b,gpu,8,48,48,0,1.9496066371599834,0.474290132522583,1.876662015914917,3.376955986022949,3.5251882076263428,3.5251882076263428,2054,42.791666666666664,21.94887207042023,0.5129239821714562,93.5811185836792
Summarize the plot of The Matrix in a single sentence,qwen2.5:7b,cpu,1,48,48,0,1.1834460993607838,0.8376758098602295,1.1446659564971924,1.367117166519165,2.665313959121704,2.665313959121704,1935,40.3125,34.06365530443173,0.8449898990246629,56.80541276931763
Summarize the plot of The Matrix in a single sentence,qwen2.5:7b,cpu,2,48,48,0,1.6225564926862717,0.8850700855255127,1.3966710567474365,2.3397939205169678,2.4638240337371826,2.4638240337371826,1870,38.958333333333336,24.01046343159042,0.6163113608108771,77.88271164894104
Summarize the plot of The Matrix in a single sentence,qwen2.5:7b,cpu,4,48,48,0,2.7881103654702506,0.9575529098510742,2.6568150520324707,4.598371267318726,4.795781850814819,4.795781850814819,1964,40.916666666666664,14.675411408890032,0.35866585928040806,133.82929754257202
Summarize the plot of The Matrix in a single sentence,qwen2.5:7b,cpu,8,48,48,0,4.807172516981761,1.0108611583709717,4.597317218780518,8.610799074172974,9.022825002670288,9.022825002670288,1944,40.5,8.424910871604915,0.2080224906569115,230.7442808151245
Summarize the plot of The Matrix in a single sentence,qwen2.5:7b,gpu,1,48,48,0,1.1751769483089447,0.8435811996459961,1.1267340183258057,1.4343008995056152,3.0284130573272705,3.0284130573272705,1916,39.916666666666664,33.96651604178071,0.8509356837189321,56.408493518829346
Summarize the plot of The Matrix in a single sentence,qwen2.5:7b,gpu,2,48,48,0,1.63865061601003,0.9792320728302002,1.3212049007415771,2.311434030532837,2.384269952774048,2.384269952774048,1894,39.458333333333336,24.079772068441837,0.6102582150397087,78.65522956848145
Summarize the plot of The Matrix in a single sentence,qwen2.5:7b,gpu,4,48,48,0,2.74633419016997,0.9730732440948486,2.558595895767212,4.408099174499512,4.937504053115845,4.937504053115845,1942,40.458333333333336,14.731758967334333,0.3641217458455448,131.82404112815857
Summarize the plot of The Matrix in a single sentence,qwen2.5:7b,gpu,8,48,48,0,4.74083495636781,1.0458869934082031,4.7429986000061035,8.491466045379639,8.849745035171509,8.849745035171509,1881,39.1875,8.265949007012784,0.21093330799394663,227.5600779056549
