prompt,model,device,concurrency,requested,success_count,failure_count,avg_latency,min_latency,p50_latency,p95_latency,p99_latency,max_latency,total_tokens,avg_tokens,tokens_per_sec,requests_per_sec,duration
Translate 'Hello' to Spanish,llama3.2:1b,cpu,1,48,48,0,0.24227101604143778,0.19210004806518555,0.21790385246276855,0.24358892440795898,1.3732647895812988,1.3732647895812988,382,7.958333333333333,32.848887429324805,4.1276088916429075,11.629008769989014
Translate 'Hello' to Spanish,llama3.2:1b,cpu,2,48,48,0,0.2802018920580546,0.2053818702697754,0.23518610000610352,0.34314894676208496,0.5081899166107178,0.5081899166107178,399,8.3125,29.666109457525526,3.568855273085777,13.449690818786621
Translate 'Hello' to Spanish,llama3.2:1b,cpu,4,48,48,0,0.4093173990646998,0.2339327335357666,0.38909006118774414,0.5805292129516602,0.6423788070678711,0.6423788070678711,384,8.0,19.544734766418905,2.443091845802363,19.64723515510559
Translate 'Hello' to Spanish,llama3.2:1b,cpu,8,48,48,0,0.6898469924926758,0.24686503410339355,0.6358840465545654,1.1970438957214355,1.4663071632385254,1.4663071632385254,416,8.666666666666666,12.56317235703348,1.4495968104269399,33.11265563964844
Translate 'Hello' to Spanish,llama3.2:1b,gpu,1,48,48,0,0.21904867887496948,0.20128893852233887,0.2148299217224121,0.262437105178833,0.3026869297027588,0.3026869297027588,392,8.166666666666666,37.282428310504024,4.565195303327023,10.514336585998535
Translate 'Hello' to Spanish,llama3.2:1b,gpu,2,48,48,0,0.278733750184377,0.21230101585388184,0.23680520057678223,0.341825008392334,0.34754014015197754,0.34754014015197754,384,8.0,28.70122471608893,3.5876530895111163,13.379220008850098
Translate 'Hello' to Spanish,llama3.2:1b,gpu,4,48,48,0,0.41420959929625195,0.22470402717590332,0.39827990531921387,0.6107048988342285,0.6306097507476807,0.6306097507476807,386,8.041666666666666,19.41448648300178,2.4142366610986667,19.882060766220093
Translate 'Hello' to Spanish,llama3.2:1b,gpu,8,48,48,0,0.747843345006307,0.22768497467041016,0.711540937423706,1.440943956375122,1.6409270763397217,1.6409270763397217,443,9.229166666666666,12.341042717427447,1.33717844342329,35.896480560302734
Translate 'Hello' to Spanish,qwen2.5:7b,cpu,1,48,48,0,0.4872047503789266,0.27419114112854004,0.39759206771850586,1.1398799419403076,1.3422260284423828,1.3422260284423828,512,10.666666666666666,21.893601526607856,2.0525251431194866,23.385828018188477
Translate 'Hello' to Spanish,qwen2.5:7b,cpu,2,48,48,0,0.6475783884525299,0.30057501792907715,0.620654821395874,1.3001859188079834,1.5395829677581787,1.5395829677581787,462,9.625,14.863065493893565,1.5442145967681626,31.083762645721436
Translate 'Hello' to Spanish,qwen2.5:7b,cpu,4,48,48,0,1.050595983862877,0.4003560543060303,1.0282340049743652,1.8675336837768555,3.2392737865448,3.2392737865448,510,10.625,10.113307268635788,0.9518406841068977,50.42860722541809
Translate 'Hello' to Spanish,qwen2.5:7b,cpu,8,48,48,0,1.775050863623619,0.413729190826416,1.6701340675354004,3.2846992015838623,3.5931220054626465,3.5931220054626465,453,9.4375,5.316749054015347,0.5633641381738115,85.20244145393372
Translate 'Hello' to Spanish,qwen2.5:7b,gpu,1,48,48,0,0.48331693808237713,0.29013776779174805,0.40906620025634766,1.0000889301300049,1.3930299282073975,1.3930299282073975,494,10.291666666666666,21.293825760587232,2.0690357014335774,23.1992130279541
Translate 'Hello' to Spanish,qwen2.5:7b,gpu,2,48,48,0,0.7168563554684321,0.3031740188598633,0.7106308937072754,1.4240577220916748,1.989137887954712,1.989137887954712,519,10.8125,15.083217045532834,1.3949796111475454,34.40910506248474
Translate 'Hello' to Spanish,qwen2.5:7b,gpu,4,48,48,0,0.9345748573541641,0.3104977607727051,1.0266680717468262,1.565319299697876,1.7507529258728027,1.7507529258728027,400,8.333333333333334,8.9167103820078,1.070005245840936,44.85959315299988
Translate 'Hello' to Spanish,qwen2.5:7b,gpu,8,48,48,0,1.6499503602584202,0.3133840560913086,1.5593719482421875,3.1046981811523438,3.7303647994995117,3.7303647994995117,414,8.625,5.227429992893317,0.606078839755747,79.19761729240417
