prompt,model,device,concurrency,requested,success_count,failure_count,avg_latency,min_latency,p50_latency,p95_latency,p99_latency,max_latency,total_tokens,avg_tokens,tokens_per_sec,requests_per_sec,duration
Write a short Python function that computes factorial,llama3.2:1b,cpu,1,10,10,0,2.160942244529724,1.6576640605926514,2.146588087081909,2.5678601264953613,2.5678601264953613,2.5678601264953613,1518,151.8,70.24713426944714,0.4627610953191511,21.60942244529724
Write a short Python function that computes factorial,llama3.2:1b,cpu,2,10,10,0,3.206514763832092,1.6339111328125,3.010859966278076,5.030086040496826,5.030086040496826,5.030086040496826,1551,155.1,48.37027471367094,0.3118650851945257,32.06514763832092
Write a short Python function that computes factorial,llama3.2:1b,cpu,4,10,10,0,4.843458437919617,1.952460765838623,4.15730619430542,8.502221822738647,8.502221822738647,8.502221822738647,1566,156.6,32.33226877182898,0.20646404068856308,48.43458437919617
Write a short Python function that computes factorial,llama3.2:1b,cpu,8,10,10,0,9.554810714721679,1.8947758674621582,7.541070938110352,18.929166078567505,18.929166078567505,18.929166078567505,1770,177.0,18.52469978576188,0.10465932082351344,95.5481071472168
Write a short Python function that computes factorial,llama3.2:1b,gpu,1,10,10,0,2.2334288120269776,1.5164649486541748,2.1441750526428223,3.3029727935791016,3.3029727935791016,3.3029727935791016,1643,164.3,73.5640191956185,0.4477420523166068,22.334288120269775
Write a short Python function that computes factorial,llama3.2:1b,gpu,2,10,10,0,3.2157764434814453,1.727036714553833,2.2572426795959473,5.556515216827393,5.556515216827393,5.556515216827393,1646,164.6,51.18515011628162,0.3109668901353683,32.15776443481445
Write a short Python function that computes factorial,llama3.2:1b,gpu,4,10,10,0,5.361850452423096,2.074679136276245,4.65748405456543,9.702507972717285,9.702507972717285,9.702507972717285,1920,192.0,35.808533211371554,0.18650277714256017,53.61850452423096
Write a short Python function that computes factorial,llama3.2:1b,gpu,8,10,10,0,7.496684646606445,1.5698058605194092,5.1668970584869385,16.396486043930054,16.396486043930054,16.396486043930054,1592,159.2,21.236054003160678,0.13339229901482838,74.96684646606445
Write a short Python function that computes factorial,qwen2.5:7b,cpu,1,10,10,0,5.357276129722595,2.991533041000366,5.581193923950195,6.303462028503418,6.303462028503418,6.303462028503418,1220,122.0,22.772766802729148,0.18666202297318973,53.57276129722595
Write a short Python function that computes factorial,qwen2.5:7b,cpu,2,10,10,0,8.521488761901855,4.702898025512695,6.491840124130249,12.152756929397583,12.152756929397583,12.152756929397583,1307,130.7,15.33769551916066,0.11735038652762554,85.21488761901855
Write a short Python function that computes factorial,qwen2.5:7b,cpu,4,10,10,0,14.141559505462647,6.507648944854736,12.266606092453003,24.465232849121094,24.465232849121094,24.465232849121094,1405,140.5,9.93525501524264,0.07071355882734975,141.41559505462646
Write a short Python function that computes factorial,qwen2.5:7b,cpu,8,10,10,0,23.413334441184997,5.076605796813965,17.64911198616028,47.458094120025635,47.458094120025635,47.458094120025635,1413,141.3,6.035022493483355,0.04271070412939388,234.13334441184998
Write a short Python function that computes factorial,qwen2.5:7b,gpu,1,10,10,0,5.629737091064453,3.763076066970825,5.970747709274292,6.55065393447876,6.55065393447876,6.55065393447876,1292,129.2,22.949561926269503,0.17762818828381968,56.29737091064453
Write a short Python function that computes factorial,qwen2.5:7b,gpu,2,10,10,0,8.275663232803344,4.689635992050171,6.0100061893463135,11.57417893409729,11.57417893409729,11.57417893409729,1266,126.6,15.297867547120426,0.12083623654913449,82.75663232803345
Write a short Python function that computes factorial,qwen2.5:7b,gpu,4,10,10,0,14.485020279884338,5.564435958862305,12.254397869110107,26.69327998161316,26.69327998161316,26.69327998161316,1444,144.4,9.968919422262143,0.06903683810430847,144.85020279884338
Write a short Python function that computes factorial,qwen2.5:7b,gpu,8,10,10,0,22.30129220485687,5.643003225326538,18.87580108642578,45.43091011047363,45.43091011047363,45.43091011047363,1360,136.0,6.098301333874336,0.04484045098437012,223.01292204856873
