model,target_input_tokens,trial,input_tokens,output_tokens,ttft_s,elapsed_s,tokens_per_sec,decode_ms_per_token,cost_usd,cost_per_million_tokens,kv_cache_mib
qwen2.5:7b,256,0,406,33,3.4153478145599365,4.808344841003418,23.963100415468315,43.47199778403005,0.0040710740206464655,9.273517131313133,22.203
qwen2.5:7b,256,1,406,28,0.12229299545288086,1.2771048545837402,24.533484102574796,42.67630210289588,0.003931135261555556,9.05791534920635,22.203
qwen2.5:7b,256,2,406,35,0.12285494804382324,1.5641777515411377,24.54839864574368,42.314363248420484,0.0039921137592,9.052412152380953,22.203
qwen2.5:7b,512,0,770,35,3.712388753890991,5.206933975219727,23.711466009655815,43.84163654211795,0.0075444044166666675,9.371930952380954,42.109
qwen2.5:7b,512,1,770,36,0.13317012786865234,1.7012689113616943,23.21250483272261,44.71529231351965,0.007716147499024692,9.57338399382716,42.109
qwen2.5:7b,512,2,770,31,0.12836503982543945,1.4451382160186768,23.846697330729626,43.77478566663019,0.007464346006967743,9.318784028673836,42.109
qwen2.5:7b,1024,0,1498,31,8.374875783920288,9.847554683685303,21.320979116198618,48.972064051134836,0.015936312114279573,10.422702494623659,81.922
qwen2.5:7b,1024,1,1498,36,0.1334857940673828,1.7923510074615479,21.962040932903136,47.22462682163014,0.015521730877851855,10.118468629629632,81.922
qwen2.5:7b,1024,2,1498,32,0.13326597213745117,1.6160719394683838,21.862154600707616,47.42746353149414,0.015551989555000001,10.164699055555555,81.922
qwen2.5:7b,2048,0,2980,32,19.568711757659912,21.261143922805786,19.180928809120783,54.249231020609535,0.034895772774833335,11.585581930555556,162.969
qwen2.5:7b,2048,1,2980,31,0.14787912368774414,1.8174171447753906,18.788855238991967,55.37671878420073,0.03561212764695341,11.82734229390681,162.969
qwen2.5:7b,2048,2,2980,34,0.14679408073425293,1.9412269592285156,19.19738193242115,54.09793555736542,0.03488901664484967,11.575652503267973,162.969
qwen2.5:7b,4096,0,5944,32,58.37342691421509,60.62128782272339,14.421548852074432,71.94290955861409,0.09208442266650002,15.409039937500005,325.062
qwen2.5:7b,4096,1,5944,32,0.17592811584472656,2.588149070739746,13.433831191970915,70.28652826944987,0.09885489708950002,16.541984118055556,325.062
qwen2.5:7b,4096,2,5944,32,0.17679286003112793,2.532315969467163,13.754314467331337,75.66429773966472,0.09655152229900002,16.156546569444448,325.062
qwen2.5:7b,8192,2,11872,32,22.832072019577026,26.270509243011475,9.424285845318629,110.01137097676595,0.2806932405013333,23.579741305555554,649.25
