prompt,model,device,concurrency,requested,success_count,failure_count,avg_latency,min_latency,p50_latency,p95_latency,p99_latency,max_latency,total_tokens,avg_tokens,tokens_per_sec,requests_per_sec,duration,cost_per_million_tokens
Say hello in one word,llama3.2:1b,cpu,1,16,16,0,0.1378212720155716,0.13161778450012207,0.136199951171875,0.14602208137512207,0.14602208137512207,0.14602208137512207,48,3.0,21.767321953472088,7.2557739844906965,2.2051403522491455,10.208983112264562
Say hello in one word,llama3.2:1b,cpu,4,16,16,0,0.2157295048236847,0.14741301536560059,0.20874786376953125,0.28382396697998047,0.28382396697998047,0.28382396697998047,48,3.0,13.906303648413296,4.635434549471098,3.451672077178955,15.97996332027294
Say hello in one word,llama3.2:1b,gpu,1,16,16,0,0.13629505038261414,0.1308128833770752,0.13429903984069824,0.14716577529907227,0.14716577529907227,0.14716577529907227,48,3.0,22.011070773137053,7.337023591045684,2.180720806121826,10.095929657971416
Say hello in one word,llama3.2:1b,gpu,4,16,16,0,0.2105059176683426,0.13788700103759766,0.20235610008239746,0.28116726875305176,0.28116726875305176,0.28116726875305176,47,2.9375,13.954477064289023,4.750460277204773,3.3680946826934814,15.924797554106297
Say hello in one word,qwen2.5:7b,cpu,1,16,16,0,0.20691411197185516,0.15967535972595215,0.2016150951385498,0.3992040157318115,0.3992040157318115,0.3992040157318115,45,2.8125,13.592596334765998,4.832923141250133,3.3106257915496826,16.348769340986088
Say hello in one word,qwen2.5:7b,cpu,4,16,16,0,0.39156581461429596,0.21243715286254883,0.347686767578125,0.5917623043060303,0.5917623043060303,0.5917623043060303,46,2.875,7.342316138685296,2.5538490917166246,6.265053033828735,30.265956685162973
Say hello in one word,qwen2.5:7b,gpu,1,16,16,0,0.1979699581861496,0.15956830978393555,0.20219111442565918,0.21145319938659668,0.21145319938659668,0.21145319938659668,46,2.875,14.522405451521387,5.051271461398743,3.1675193309783936,15.30202575351881
Say hello in one word,qwen2.5:7b,gpu,4,16,16,0,0.3851303309202194,0.17896723747253418,0.3415498733520508,0.587022066116333,0.587022066116333,0.587022066116333,46,2.875,7.465005399939696,2.596523617370329,6.162085294723511,29.768527993833384
Summarize the plot of The Matrix in a single sentence,llama3.2:1b,cpu,1,16,16,0,0.7885122746229172,0.6303131580352783,0.8050270080566406,0.9153709411621094,0.9153709411621094,0.9153709411621094,841,52.5625,66.66034466633569,1.2682110756972307,12.616196393966675,3.3336494633284914
Summarize the plot of The Matrix in a single sentence,llama3.2:1b,cpu,4,16,16,0,1.823362022638321,0.6931021213531494,1.559499979019165,3.0683248043060303,3.0683248043060303,3.0683248043060303,849,53.0625,29.101461663230765,0.548437440060886,29.173792362213135,7.636118927421315
Summarize the plot of The Matrix in a single sentence,llama3.2:1b,gpu,1,16,16,0,0.7523790001869202,0.5444440841674805,0.7423889636993408,0.9312548637390137,0.9312548637390137,0.9312548637390137,793,49.5625,65.87437978424006,1.3291173726958903,12.038064002990723,3.3734241286228728
Summarize the plot of The Matrix in a single sentence,llama3.2:1b,gpu,4,16,16,0,1.572084128856659,0.5576419830322266,1.346740961074829,2.5314197540283203,2.5314197540283203,2.5314197540283203,722,45.125,28.703934587023905,0.6360982733966517,25.153346061706543,7.7418732107437815
Summarize the plot of The Matrix in a single sentence,qwen2.5:7b,cpu,1,16,16,0,1.8705169558525085,1.4838767051696777,1.8214972019195557,2.230262041091919,2.230262041091919,2.230262041091919,677,42.3125,22.620751909044106,0.5346115665357544,29.928271293640137,9.82382120257349
Summarize the plot of The Matrix in a single sentence,qwen2.5:7b,cpu,4,16,16,0,4.6275728940963745,1.316303014755249,4.639657258987427,7.871603965759277,7.871603965759277,7.871603965759277,696,43.5,9.400176074048476,0.2160960017022638,74.04116630554199,23.640219126929118
Summarize the plot of The Matrix in a single sentence,qwen2.5:7b,gpu,1,16,16,0,1.8510263562202454,1.6358370780944824,1.7930686473846436,2.2441320419311523,2.2441320419311523,2.2441320419311523,681,42.5625,22.993999981130294,0.5402408218767764,29.616421699523926,9.664356893301983
Summarize the plot of The Matrix in a single sentence,qwen2.5:7b,gpu,4,16,16,0,4.65942420065403,1.4100069999694824,4.38221001625061,7.825337171554565,7.825337171554565,7.825337171554565,710,44.375,9.52370895823806,0.21461879342508305,74.55078721046448,23.33357972158513
Translate 'Hello' to Spanish,llama3.2:1b,cpu,1,16,16,0,0.31272687017917633,0.25875282287597656,0.27901172637939453,0.8128809928894043,0.8128809928894043,0.8128809928894043,260,16.25,51.96227618908983,3.19767853471322,5.003629922866821,4.2766067716810445
Translate 'Hello' to Spanish,llama3.2:1b,cpu,4,16,16,0,0.811400443315506,0.2883319854736328,0.6351850032806396,2.147188901901245,2.147188901901245,2.147188901901245,319,19.9375,24.57171445277049,1.2324370885402125,12.982407093048096,9.043822426365793
Translate 'Hello' to Spanish,llama3.2:1b,gpu,1,16,16,0,0.2772579938173294,0.2592601776123047,0.27207112312316895,0.35779404640197754,0.35779404640197754,0.35779404640197754,216,13.5,48.69111189232089,3.606749029060807,4.4361279010772705,4.5639175937008964
Translate 'Hello' to Spanish,llama3.2:1b,gpu,4,16,16,0,0.5699892342090607,0.2730422019958496,0.47432684898376465,1.0704150199890137,1.0704150199890137,1.0704150199890137,236,14.75,25.87768174335376,1.7544191012443227,9.11982774734497,8.587408424995266
Translate 'Hello' to Spanish,qwen2.5:7b,cpu,1,16,16,0,0.625916913151741,0.6070449352264404,0.6091480255126953,0.861781120300293,0.861781120300293,0.861781120300293,208,13.0,20.769529831906635,1.5976561409158951,10.014670610427856,10.699434412850277
Translate 'Hello' to Spanish,qwen2.5:7b,cpu,4,16,16,0,1.9265339970588684,0.6182601451873779,1.6778349876403809,5.012775897979736,5.012775897979736,5.012775897979736,297,18.5625,9.635179046068394,0.5190668846366813,30.824543952941895,23.06363183908859
Translate 'Hello' to Spanish,qwen2.5:7b,gpu,1,16,16,0,0.6366147845983505,0.606658935546875,0.6083598136901855,1.0551321506500244,1.0551321506500244,1.0551321506500244,219,13.6875,21.500443174023427,1.5708086337186065,10.185836553573608,10.33570426542223
Translate 'Hello' to Spanish,qwen2.5:7b,gpu,4,16,16,0,1.546633705496788,0.6197772026062012,1.1523997783660889,3.5557031631469727,3.5557031631469727,3.5557031631469727,236,14.75,9.536841171621958,0.6465655031608107,24.74613928794861,23.301449423680427
Write a short Python function that computes factorial,llama3.2:1b,cpu,1,16,16,0,1.781676098704338,1.7541639804840088,1.7691309452056885,1.8540499210357666,1.8540499210357666,1.8540499210357666,2048,128.0,71.84246344949206,0.5612692456991567,28.50681757926941,3.0931876713616977
Write a short Python function that computes factorial,llama3.2:1b,cpu,4,16,16,0,4.311081826686859,1.765131950378418,3.5831849575042725,7.019194841384888,7.019194841384888,7.019194841384888,2048,128.0,29.69092333335974,0.23196033854187298,68.97730922698975,7.484517060220241
Write a short Python function that computes factorial,llama3.2:1b,gpu,1,16,16,0,1.7617323994636536,1.747964859008789,1.7580292224884033,1.7984378337860107,1.7984378337860107,1.7984378337860107,2048,128.0,72.65575636740782,0.5676230966203736,28.187718391418457,3.0585631935132875
Write a short Python function that computes factorial,llama3.2:1b,gpu,4,16,16,0,4.280025005340576,1.7704088687896729,3.4598000049591064,6.805495977401733,6.805495977401733,6.805495977401733,2048,128.0,29.906367332032584,0.23364349478150456,68.48040008544922,7.430598967605167
Write a short Python function that computes factorial,qwen2.5:7b,cpu,1,16,16,0,5.5264052748680115,5.3235251903533936,5.359408855438232,7.501917123794556,7.501917123794556,7.501917123794556,2048,128.0,23.16152971663068,0.1809494509111772,88.42248439788818,9.59445360220141
Write a short Python function that computes factorial,qwen2.5:7b,cpu,4,16,16,0,13.503147646784782,5.359963893890381,11.375180006027222,22.031080961227417,22.031080961227417,22.031080961227417,2048,128.0,9.479271303863579,0.07405680706143421,216.05036234855652,23.442964664556918
Write a short Python function that computes factorial,qwen2.5:7b,gpu,1,16,16,0,5.372921913862228,5.350548982620239,5.364613056182861,5.46134614944458,5.46134614944458,5.46134614944458,2048,128.0,23.823164016167414,0.18611846887630792,85.96675062179565,9.327989433788593
Write a short Python function that computes factorial,qwen2.5:7b,gpu,4,16,16,0,13.323847711086273,5.372513055801392,10.700244903564453,21.30731511116028,21.30731511116028,21.30731511116028,2048,128.0,9.60683451023656,0.07505339461122312,213.18156337738037,23.131680053969227
